"PID", "Sale_Price"
908276150, 76500.7039113115
903451090, 147782.227421453
527110080, 180355.060138071
535457010, 137942.161627506
903484020, 133817.472039333
905479110, 120030.928388965
527452310, 127104.94207067
528228445, 190426.273308314
923225370, 104880.559020675
528344040, 331066.965218057
532377050, 138782.713321314
535176050, 143809.084425367
906340100, 339341.272769783
533212050, 160376.892195228
909428180, 188276.017318085
535379110, 134198.744689979
534250400, 193014.843609852
527450520, 108258.580595083
527452150, 132145.739996068
903225040, 128382.394401852
911370410, 289071.364707297
905226080, 157597.31906956
914467050, 209727.080091775
908152260, 147801.333988758
534451170, 82641.5180220942
923228310, 82133.4700221094
910201180, 151136.316706403
534476100, 133635.497749556
923225080, 122639.196576017
906223210, 236385.01726389
905480150, 91939.4719732412
903452090, 121245.780476954
527208010, 382009.036808402
906426090, 177488.809391873
903231090, 136653.920169621
535152280, 145186.814792306
528458180, 218362.218431834
532354060, 124235.406707667
909279040, 111119.294419182
527353060, 251623.464445841
916176030, 155472.942789856
533110130, 281410.262385598
911370450, 271775.612456592
528118110, 330189.163937595
528228270, 197339.872807474
905480240, 97515.6870331897
914460020, 198284.515970958
534428060, 137347.506829897
534252240, 165721.92152248
908102050, 110720.905676194
914475030, 177405.124687426
533221040, 173008.040266914
535451170, 93405.35374117
905451340, 86497.1614429115
528118040, 402938.153053578
903200080, 207362.643137171
527162110, 189001.884074239
535381040, 161547.556421946
528174020, 196695.912263982
534400290, 168684.385527355
903206070, 141408.807742147
533252130, 210935.857672224
906382030, 235174.966325695
535327200, 129802.951584947
535455080, 114954.134115278
527354160, 186591.855372041
902207120, 107520.039142476
909282060, 202759.314038147
902109140, 127705.326451602
902206270, 130317.456436981
533250050, 242760.350654892
909452050, 225430.289397477
527212060, 377275.474833467
906394060, 185376.261925859
534401120, 158067.311058106
528435010, 218376.922442607
528315080, 288543.707367719
909275030, 159339.080046585
528102010, 376273.809039854
907200290, 150999.077599138
902300260, 122028.557450091
528150110, 338463.223001463
535450100, 130954.544983678
907285010, 231356.98481807
533253210, 187031.569670018
527301280, 148152.436659503
905478140, 138548.320194048
902204080, 88761.6200385543
907201280, 133973.152504928
905476170, 90055.0697095333
923228210, 81527.2623984789
534226120, 124936.861508982
527301170, 215832.780975211
535453040, 128555.627060759
